Word,Count
cajolery,1
calculate,1
caldrons,3
call,91
called,245
calls,12
calm,86
calmer,6
came,683
camlet,1
campaigns,8
camped,1
campo,1
camps,6
campstool,3
candlelight,1
candor,1
canonized,1
capabilities,2
capacities,1
capered,1
capitally,3
capriciously,1
captaincy,2
captive,6
capture,33
captured,43
car,2
caravans,1
card,19
cards,42
career,17
careful,16
careless,12
carelessness,3
caress,1
caressing,9
caricature,1
caroline,1
carpeted,3
carriage,117
carrier,1
carrion,1
carted,5
carters,1
cassock,2
cast,12
castr,2
casual,5
catches,5
cathedral,10
catiche,10
caucasus,2
caught,58
causing,6
caustic,3
cautious,4
cavalier,1
cavalry,77
cavern,1
ceases,3
celebrated,9
cellaret,1
cellular,1
centuries,7
ceremonies,4
certain,139
certains,1
certainty,4
ces,1
cet,1
chaffed,1
chaffing,5
chained,1
chairs,23
challenges,1
champion,1
chancellor,4
chancery,1
channel,5
chaos,1
charmed,3
charmingly,1
charpie,1
charter,1
chased,4
chat,4
chats,1
chatted,4
chattered,5
chattering,4
chatty,1
che,29
cheekbones,3
cheerfully,12
chemical,3
chen,1
ches,23
chessboard,1
chestnut,12
chevalier,4
chewed,1
chi,1
chichag,10
chilled,2
chimed,8
chinoises,1
chivalrous,1
chivalry,5
chkov,6
choked,9
choking,10
choleric,2
chord,5
chose,14
chosen,38
christianity,3
christmas,11
christmastime,1
chroniclers,1
chubby,1
chucked,1
chuckle,2
churches,20
churlish,1
circle,53
circlet,1
circumscribed,1
circumspection,1
circumstantially,1
citadel,3
cities,2
citizenship,3
civilians,5
civilization,9
claiming,1
clamber,1
clamored,1
clapping,6
classed,1
cleanliness,7
cleanly,2
cleared,23
clearer,5
clearheadedness,1
clergy,7
clever,46
cleverness,4
click,5
cliffs,1
climate,3
climb,2
clinching,1
clock,78
close,108
closely,28
clothed,1
clothing,5
cloudlets,2
cloudy,1
club,49
clumsy,6
clutching,12
co,10
coaches,1
coachmen,6
cob,1
cobwebs,1
cockroaches,3
cocks,5
coffee,10
coffeepot,1
coil,1
coiled,2
coiling,1
cold,138
collapsed,5
collect,9
collided,2
colliding,1
colloquies,1
colors,4
colosseum,1
combat,4
combatants,2
combination,10
come,684
comfortable,12
comfortably,8
comic,2
commanding,23
comme,3
commenced,1
commencing,2
commend,1
commensurate,2
commiserating,1
commissary,1
commissioner,2
commits,4
committeemen,2
commonplace,5
commune,7
